sku	name	image	description	url
1220894	Zulu & Zephyr Glare Brallette Bikini Top	https://images.asos-media.com/products/zulu-zephyr-glare-brallette-bikini-top/9150032-1-white 	Bikini top by Zulu & Zephyr Just add water Textured finish Scoop neck Button detailing	https://www.asos.com/us/zulu-zephyr/zulu-zephyr-glare-brallette-bikini-top/prd/9150032
1233666	Zulu & Zephyr Chambray Beach Romper	https://images.asos-media.com/products/zulu-zephyr-chambray-beach-romper/9271526-1-navy 	Romper by Zulu & Zephyr Goes great with your holiday V-neck Long sleeves Button front Relaxed fit Loose but not oversized	https://www.asos.com/us/zulu-zephyr/zulu-zephyr-chambray-beach-romper/prd/9271526
1233670	Zulu & Zephyr Ribbed Halter Wrap Bikini Top	https://images.asos-media.com/products/zulu-zephyr-ribbed-halter-wrap-bikini-top/9271534-1-burntorange 	Bikini top by Zulu & Zephyr Just add water Non-padded cups Underband support Ribbed finish Adjustable straps Take control Clasp closure	https://www.asos.com/us/zulu-zephyr/zulu-zephyr-ribbed-halter-wrap-bikini-top/prd/9271534
1233669	Zulu & Zephyr Rockwall Brallette Bikini Bottom	https://images.asos-media.com/products/zulu-zephyr-rockwall-brallette-bikini-bottom/9271537-1-multi 	Bikini bottoms by Zulu & Zephyr Just add water A shot of print perfection For patterns as bold as you are Short-style brief	https://www.asos.com/us/zulu-zephyr/zulu-zephyr-rockwall-brallette-bikini-bottom/prd/9271537
1308786	Zaxy Heart Flat Shoes	https://images.asos-media.com/products/zaxy-heart-flat-shoes/10161970-1-grey 	Shoes by Zaxy Cute, right? Subtle vanilla scent Round toe Heart detail Flat sole Part of the Eco Edit	https://www.asos.com/us/zaxy/zaxy-heart-flat-shoes/prd/10161970
1268165	Jack & Jones Originals Drop Shoulder Hoodie	https://images.asos-media.com/products/jack-jones-originals-drop-shoulder-hoodie/9689357-1-bleacheddenim 	Hoodie by Jack & Jones A great chill-out buddy Drawstring hood Dropped shoulders Over-the-head style Embroidered design Pouch pocket Regular fit No surprises, just a classic cut	https://www.asos.com/us/jack-jones/jack-jones-originals-drop-shoulder-hoodie/prd/9689357
1316085	Zulu & Zephyr sand bikini bottom in stripe	https://images.asos-media.com/products/zulu-zephyr-sand-bikini-bottom-in-stripe/10248320-1-multi 	Bikini bottoms by Zulu & Zephyr We’re all about that beach life Mid-rise waist Stripe design Get in line Brief cut	https://www.asos.com/us/zulu-zephyr/zulu-zephyr-sand-bikini-bottom-in-stripe/prd/10248320
1279501	Zibi London Pencil Dress With Lace Sleeves	https://images.asos-media.com/products/zibi-london-pencil-dress-with-lace-sleeves/9818280-1-black 	Dress by Zibi London Yeah, we like this one too Fully lined Boat neck Cap sleeves Crochet-lace overlay This one’s a little more fancy Close-cut body-conscious fit	https://www.asos.com/us/zibi-london/zibi-london-pencil-dress-with-lace-sleeves/prd/9818280
1247599	Selected Femme mom jeans in black	https://images.asos-media.com/products/selected-femme-mom-jeans-in-black/9433854-1-black 	Mom jeans by Selected A wardrobe staple High-rise waist Concealed fly Functional pockets Slim tapered leg Sits on the ankle Relaxed fit Loose but not oversized	https://www.asos.com/us/selected/selected-femme-mom-jeans-in-black/prd/9433854
1316090	Zulu & Zephyr speckle high waist beach short in multi	https://images.asos-media.com/products/zulu-zephyr-speckle-high-waist-beach-short-in-multi/10248324-1-multi 	Beach shorts by Zulu & Zephyr For that vacation you haven't booked yet High-rise waist Concealed fly Speckled design It's all in the details Regular fit - true to size	https://www.asos.com/us/zulu-zephyr/zulu-zephyr-speckle-high-waist-beach-short-in-multi/prd/10248324
1316081	Zulu & Zephyr Formation beach shirt in woven stripe	https://images.asos-media.com/products/zulu-zephyr-formation-beach-shirt-in-woven-stripe/10248321-1-multi 	Beach cover-up by Zulu & Zephyr Striped design Get in line Revere collar Button placket Short sleeves Oversized fit More room for activities	https://www.asos.com/us/zulu-zephyr/zulu-zephyr-formation-beach-shirt-in-woven-stripe/prd/10248321
1373005	Zulu & Zephyr backroad cupped bikini in multi	https://images.asos-media.com/products/zulu-zephyr-backroad-cupped-bikini-in-multi/10930680-1-multi 	Bikini top by Zulu & Zephyr Which way to the beach? Striped design Underwire support Frill trim Clasp closure	https://www.asos.com/us/zulu-zephyr/zulu-zephyr-backroad-cupped-bikini-in-multi/prd/10930680
1373006	Zulu & Zephyr backroad cheeky bikini bottom in multi	https://images.asos-media.com/products/zulu-zephyr-backroad-cheeky-bikini-bottom-in-multi/10930678-1-multi 	Bikini bottoms by Zulu & Zephyr Meet you by the pool Striped design Low rise Brief cut	https://www.asos.com/us/zulu-zephyr/zulu-zephyr-backroad-cheeky-bikini-bottom-in-multi/prd/10930678
1347191	Zibi London lace detail top	https://images.asos-media.com/products/zibi-london-lace-detail-top/10619573-1-black 	Top by Zibi London Do you believe in love at first sight? Crew neck Blouson sleeves Lace detail More is definitely more Button-keyhole back Regular fit - true to size	https://www.asos.com/us/zibi-london/zibi-london-lace-detail-top/prd/10619573
1451685	Vans SK8-Hi black sneakers	https://images.asos-media.com/products/vans-sk8-hi-black-sneakers/11973715-1-black 	Sneakers by Vans Introducing your new everyday shoes Hi-top design Lace-up fastening Branded design Padded for comfort Signature waffle tread This style is unisex and based on men's sizing It is advisable for women to order a half size down	https://www.asos.com/us/vans/vans-sk8-hi-black-sneakers/prd/11973715
1316093	Zulu & Zephyr speckle swimsuit in multi	https://images.asos-media.com/products/zulu-zephyr-speckle-swimsuit-in-multi/10248330-1-multi 	Swimsuit by Zulu & Zephyr Who else is feeling that summer state of mind? Plunge neck Adjustable straps Moulded cups Underwire for extra support Speckle design It's all in the details Low back Brief cut	https://www.asos.com/us/zulu-zephyr/zulu-zephyr-speckle-swimsuit-in-multi/prd/10248330
1451182	Vila faux wrap shift dress	https://images.asos-media.com/products/vila-faux-wrap-shift-dress/11965988-1-black 	Dress by Vila Add-to-bag potential: considerable Round neck Long sleeves Wrap front Tie fastening Regular fit Just select your usual size	https://www.asos.com/us/vila/vila-faux-wrap-shift-dress/prd/11965988
1316089	Zulu & Zephyr speckle double breasted beach shirt in multi	https://images.asos-media.com/products/zulu-zephyr-speckle-double-breasted-beach-shirt-in-multi/10248327-1-multi 	Beach shirt by Zulu & Zephyr Some serious daytime inspiration right here V-neck Notch lapels Double-breasted design Speckled print More is definitely more Split sleeves Regular fit - true to size	https://www.asos.com/us/zulu-zephyr/zulu-zephyr-speckle-double-breasted-beach-shirt-in-multi/prd/10248327
1404129	ZYA mini skirt with ruched sides	https://images.asos-media.com/products/zya-mini-skirt-with-ruched-sides/11358968-1-champagnesatin 	Mini skirt by ZYA Take this cutie out-out High-rise waist Ruched sides Zip-back fastening Body-Conscious fit Holds you close	https://www.asos.com/us/zya/zya-mini-skirt-with-ruched-sides/prd/11358968
1372997	Zulu and Zephyr float high leg bikini bottom in multi	https://images.asos-media.com/products/zulu-and-zephyr-float-high-leg-bikini-bottom-in-multi/10930681-1-multi 	Bikini bottoms by Zulu & Zephyr Just add water Low rise Dot print Brief cut	https://www.asos.com/us/zulu-zephyr/zulu-and-zephyr-float-high-leg-bikini-bottom-in-multi/prd/10930681
