ident,actual_ident,scheduled_departuretm,scheduled_arrivaltm,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach
FJI5067,AAL134,2020-05-01T00:30:00.000Z,2020-05-01T11:10:00.000Z,KLAX,EGLL,B77W,"Business: Breakfast, Dinner / Economy: Breakfast, Dinner",0,52,216
VIR20,"",2020-05-01T01:00:00.000Z,2020-05-01T11:15:00.000Z,KSFO,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
ANZ4162,VIR20,2020-05-01T01:00:00.000Z,2020-05-01T11:15:00.000Z,KSFO,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
DAL4391,VIR20,2020-05-01T01:00:00.000Z,2020-05-01T11:15:00.000Z,KSFO,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
AFR9650,VIR20,2020-05-01T01:00:00.000Z,2020-05-01T11:15:00.000Z,KSFO,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
KLM4838,VIR20,2020-05-01T01:00:00.000Z,2020-05-01T11:15:00.000Z,KSFO,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
SIA2520,VIR20,2020-05-01T01:00:00.000Z,2020-05-01T11:15:00.000Z,KSFO,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
ALK2854,ACA854,2020-05-01T01:30:00.000Z,2020-05-01T10:50:00.000Z,CYVR,EGLL,B789,Business: No meal / Economy: No meal,0,30,268
VIR42,"",2020-05-01T02:05:00.000Z,2020-05-01T12:20:00.000Z,KSFO,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
ANZ4164,VIR42,2020-05-01T02:05:00.000Z,2020-05-01T12:20:00.000Z,KSFO,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
KLM4840,VIR42,2020-05-01T02:05:00.000Z,2020-05-01T12:20:00.000Z,KSFO,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
SIA2572,VIR42,2020-05-01T02:05:00.000Z,2020-05-01T12:20:00.000Z,KSFO,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
AFR9660,VIR42,2020-05-01T02:05:00.000Z,2020-05-01T12:20:00.000Z,KSFO,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
DAL4363,VIR42,2020-05-01T02:05:00.000Z,2020-05-01T12:20:00.000Z,KSFO,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
AAL6127,BAW48,2020-05-01T02:20:00.000Z,2020-05-01T11:40:00.000Z,KSEA,EGLL,B789,First: Meal / Business: Meal / Economy: Meal,8,42,166
IBE7312,BAW48,2020-05-01T02:20:00.000Z,2020-05-01T11:40:00.000Z,KSEA,EGLL,B789,First: No meal / Business: No meal / Economy: No meal,8,42,166
BAW48,"",2020-05-01T02:20:00.000Z,2020-05-01T11:40:00.000Z,KSEA,EGLL,B789,First: Meal / Business: Meal / Economy: Meal,8,42,166
EIN8748,BAW48,2020-05-01T02:20:00.000Z,2020-05-01T11:40:00.000Z,KSEA,EGLL,B789,First: No meal / Business: No meal / Economy: No meal,8,42,166
FIN5448,BAW48,2020-05-01T02:20:00.000Z,2020-05-01T11:40:00.000Z,KSEA,EGLL,B789,First: Meal / Business: Meal / Economy: Meal,8,42,166
VIR4001,DAL36,2020-05-01T02:36:00.000Z,2020-05-01T12:30:00.000Z,KPDX,EGLL,B764,First: No meal / Business: Dinner / Economy: Dinner,20,34,184
KLM6041,DAL36,2020-05-01T02:36:00.000Z,2020-05-01T12:30:00.000Z,KPDX,EGLL,B764,First: Dinner / Business: Dinner / Economy: Dinner,20,34,184
AFR3680,DAL36,2020-05-01T02:36:00.000Z,2020-05-01T12:30:00.000Z,KPDX,EGLL,B764,First: Dinner / Business: Dinner / Economy: Dinner,20,34,184
DAL36,"",2020-05-01T02:36:00.000Z,2020-05-01T12:30:00.000Z,KPDX,EGLL,B764,First: Dinner / Business: Dinner / Economy: Dinner,20,34,184
RJA7106,AAL136,2020-05-01T02:40:00.000Z,2020-05-01T13:25:00.000Z,KLAX,EGLL,B77W,Business: No meal / Economy: No meal,0,99,999
VIR104,"",2020-05-01T00:01:00.000Z,2020-05-01T08:20:00.000Z,KATL,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
SIA2514,VIR104,2020-05-01T00:01:00.000Z,2020-05-01T08:20:00.000Z,KATL,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
AMX7667,VIR138,2020-05-01T00:01:00.000Z,2020-05-01T07:00:00.000Z,KJFK,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
VIR138,"",2020-05-01T00:01:00.000Z,2020-05-01T07:00:00.000Z,KJFK,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
KLM4801,VIR104,2020-05-01T00:01:00.000Z,2020-05-01T08:20:00.000Z,KATL,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
SIA2588,VIR138,2020-05-01T00:01:00.000Z,2020-05-01T07:00:00.000Z,KJFK,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
AMX7677,VIR104,2020-05-01T00:01:00.000Z,2020-05-01T08:20:00.000Z,KATL,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
DAL4365,VIR104,2020-05-01T00:01:00.000Z,2020-05-01T08:20:00.000Z,KATL,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
AFR9903,VIR104,2020-05-01T00:01:00.000Z,2020-05-01T08:20:00.000Z,KATL,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
AFR9917,VIR138,2020-05-01T00:01:00.000Z,2020-05-01T07:00:00.000Z,KJFK,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
DAL4412,VIR138,2020-05-01T00:01:00.000Z,2020-05-01T07:00:00.000Z,KJFK,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
KLM4829,VIR138,2020-05-01T00:01:00.000Z,2020-05-01T07:00:00.000Z,KJFK,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
SIA1015,ACA848,2020-05-01T00:35:00.000Z,2020-05-01T07:35:00.000Z,CYYZ,EGLL,B789,Business: No meal / Economy: No meal,0,30,268
ETH1141,ACA848,2020-05-01T00:35:00.000Z,2020-05-01T07:35:00.000Z,CYYZ,EGLL,B789,Business: Snack or brunch / Economy: Snack or brunch,0,30,268
AIC7310,ACA848,2020-05-01T00:35:00.000Z,2020-05-01T07:35:00.000Z,CYYZ,EGLL,B789,Business: Meal / Economy: Meal,0,30,268
AUA8290,ACA848,2020-05-01T00:35:00.000Z,2020-05-01T07:35:00.000Z,CYYZ,EGLL,B789,Business: No meal / Economy: No meal,0,30,268
ALK2848,ACA848,2020-05-01T00:35:00.000Z,2020-05-01T07:35:00.000Z,CYYZ,EGLL,B789,Business: No meal / Economy: No meal,0,30,268
DLH6583,ACA848,2020-05-01T00:35:00.000Z,2020-05-01T07:35:00.000Z,CYYZ,EGLL,B789,"Business: Breakfast, Meal / Economy: Breakfast, Meal",0,30,268
UAL8384,ACA848,2020-05-01T00:35:00.000Z,2020-05-01T07:35:00.000Z,CYYZ,EGLL,B789,"Business: Breakfast, Meal / Economy: Breakfast, Meal",0,30,268
AEE3054,ACA848,2020-05-01T00:35:00.000Z,2020-05-01T07:35:00.000Z,CYYZ,EGLL,B789,Business: No meal / Economy: No meal,0,30,268
THA5805,ACA848,2020-05-01T00:35:00.000Z,2020-05-01T07:35:00.000Z,CYYZ,EGLL,B789,Business: Meal / Economy: Meal,0,30,268
MSR9617,ACA848,2020-05-01T00:35:00.000Z,2020-05-01T07:35:00.000Z,CYYZ,EGLL,B789,Business: No meal / Economy: No meal,0,30,268
ACA848,"",2020-05-01T00:35:00.000Z,2020-05-01T07:35:00.000Z,CYYZ,EGLL,B789,"Business: Breakfast, Meal / Economy: Breakfast, Meal",0,30,268
EMT1141,ACA848,2020-05-01T00:35:00.000Z,2020-05-01T07:35:00.000Z,CYYZ,EGLL,B789,Business: Snack or brunch / Economy: Snack or brunch,0,30,268
AMX7682,VIR156,2020-05-01T03:45:00.000Z,2020-05-01T13:45:00.000Z,KLAS,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
AFR9926,VIR156,2020-05-01T03:45:00.000Z,2020-05-01T13:45:00.000Z,KLAS,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
SIA2536,VIR156,2020-05-01T03:45:00.000Z,2020-05-01T13:45:00.000Z,KLAS,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
VIR156,"",2020-05-01T03:45:00.000Z,2020-05-01T13:45:00.000Z,KLAS,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
KLM4807,VIR156,2020-05-01T03:45:00.000Z,2020-05-01T13:45:00.000Z,KLAS,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
DAL4416,VIR156,2020-05-01T03:45:00.000Z,2020-05-01T13:45:00.000Z,KLAS,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
BAW84,"",2020-05-01T03:55:00.000Z,2020-05-01T13:15:00.000Z,CYVR,EGLL,B744,First: Meal / Business: Meal / Economy: Meal,14,52,271
IBE7334,BAW84,2020-05-01T03:55:00.000Z,2020-05-01T13:15:00.000Z,CYVR,EGLL,B744,First: No meal / Business: No meal / Economy: No meal,14,52,271
AAL6218,BAW84,2020-05-01T03:55:00.000Z,2020-05-01T13:15:00.000Z,CYVR,EGLL,B744,First: Meal / Business: Meal / Economy: Meal,14,52,271
EIN8764,BAW84,2020-05-01T03:55:00.000Z,2020-05-01T13:15:00.000Z,CYVR,EGLL,B744,First: No meal / Business: No meal / Economy: No meal,14,52,271
FIN5996,BAW84,2020-05-01T03:55:00.000Z,2020-05-01T13:15:00.000Z,CYVR,EGLL,B744,First: No meal / Business: Meal / Economy: Meal,14,52,271
FIN5472,BAW172,2020-05-01T01:00:00.000Z,2020-05-01T08:05:00.000Z,KJFK,EGLL,"",First: Meal / Business: Meal / Economy: Meal,14,56,227
AMX7669,VIR46,2020-05-01T01:00:00.000Z,2020-05-01T08:15:00.000Z,KJFK,EGLL,A333,Business: Dinner / Economy: Dinner,0,31,233
IBE7371,BAW172,2020-05-01T01:00:00.000Z,2020-05-01T08:05:00.000Z,KJFK,EGLL,"",First: No meal / Business: No meal / Economy: No meal,14,56,227
AFR9664,VIR46,2020-05-01T01:00:00.000Z,2020-05-01T08:15:00.000Z,KJFK,EGLL,A333,Business: Dinner / Economy: Dinner,0,31,233
AAL6212,BAW172,2020-05-01T01:00:00.000Z,2020-05-01T08:05:00.000Z,KJFK,EGLL,"",First: Meal / Business: Meal / Economy: Meal,14,56,227
EIN8872,BAW172,2020-05-01T01:00:00.000Z,2020-05-01T08:05:00.000Z,KJFK,EGLL,"",First: No meal / Business: No meal / Economy: No meal,14,56,227
KLM4827,VIR46,2020-05-01T01:00:00.000Z,2020-05-01T08:15:00.000Z,KJFK,EGLL,A333,Business: Dinner / Economy: Dinner,0,31,233
DAL4375,VIR46,2020-05-01T01:00:00.000Z,2020-05-01T08:15:00.000Z,KJFK,EGLL,A333,Business: Dinner / Economy: Dinner,0,31,233
VIR46,"",2020-05-01T01:00:00.000Z,2020-05-01T08:15:00.000Z,KJFK,EGLL,A333,Business: Dinner / Economy: Dinner,0,31,233
BAW172,"",2020-05-01T01:00:00.000Z,2020-05-01T08:05:00.000Z,KJFK,EGLL,"",First: Meal / Business: Meal / Economy: Meal,14,56,227
SIA2546,VIR46,2020-05-01T01:00:00.000Z,2020-05-01T08:15:00.000Z,KJFK,EGLL,A333,Business: Dinner / Economy: Dinner,0,31,233
UAL16,"",2020-05-01T01:15:00.000Z,2020-05-01T08:20:00.000Z,KEWR,EGLL,B78X,Business: Dinner / Economy: Dinner,0,44,274
DLH7630,UAL16,2020-05-01T01:15:00.000Z,2020-05-01T08:20:00.000Z,KEWR,EGLL,B78X,Business: Dinner / Economy: Dinner,0,44,274
AUA7800,UAL16,2020-05-01T01:15:00.000Z,2020-05-01T08:20:00.000Z,KEWR,EGLL,B78X,Business: No meal / Economy: No meal,0,44,274
ACA5281,UAL16,2020-05-01T01:15:00.000Z,2020-05-01T08:20:00.000Z,KEWR,EGLL,B78X,Business: Dinner / Economy: Dinner,0,44,274
SWR3059,UAL16,2020-05-01T01:15:00.000Z,2020-05-01T08:20:00.000Z,KEWR,EGLL,B78X,Business: No meal / Economy: No meal,0,44,274
VIR24,"",2020-05-01T04:20:00.000Z,2020-05-01T14:35:00.000Z,KLAX,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
SIA2524,VIR24,2020-05-01T04:20:00.000Z,2020-05-01T14:35:00.000Z,KLAX,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
DAL4405,VIR24,2020-05-01T04:20:00.000Z,2020-05-01T14:35:00.000Z,KLAX,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
AMX7661,VIR24,2020-05-01T04:20:00.000Z,2020-05-01T14:35:00.000Z,KLAX,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
