ident,actual_ident,scheduled_departuretm,scheduled_arrivaltm,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach
ALK2854,ACA854,2020-05-09T00:05:00.000+0000,2020-05-09T09:25:00.000+0000,CYVR,EGLL,B788,Business: No meal / Economy: No meal,0,20,235
ACA854,,2020-05-09T00:05:00.000+0000,2020-05-09T09:25:00.000+0000,CYVR,EGLL,B788,"Business: Breakfast, Meal / Economy: Breakfast, Meal",0,20,235
AUA8214,ACA854,2020-05-09T00:05:00.000+0000,2020-05-09T09:25:00.000+0000,CYVR,EGLL,B788,Business: No meal / Economy: No meal,0,20,235
UAL8582,ACA854,2020-05-09T00:05:00.000+0000,2020-05-09T09:25:00.000+0000,CYVR,EGLL,B788,"Business: Breakfast, Meal / Economy: Breakfast, Meal",0,20,235
DLH6841,ACA854,2020-05-09T00:05:00.000+0000,2020-05-09T09:25:00.000+0000,CYVR,EGLL,B788,"Business: Breakfast, Meal / Economy: Breakfast, Meal",0,20,235
AIC7318,ACA854,2020-05-09T00:05:00.000+0000,2020-05-09T09:25:00.000+0000,CYVR,EGLL,B788,Business: Meal / Economy: Meal,0,20,235
ANZ4824,ACA854,2020-05-09T00:05:00.000+0000,2020-05-09T09:25:00.000+0000,CYVR,EGLL,B788,"Business: Breakfast, Meal / Economy: Breakfast, Meal",0,20,235
BAW114,,2020-05-09T00:15:00.000+0000,2020-05-09T07:20:00.000+0000,KJFK,EGLL,,First: Meal / Business: Meal / Economy: Meal,12,48,159
AAL6135,BAW114,2020-05-09T00:15:00.000+0000,2020-05-09T07:20:00.000+0000,KJFK,EGLL,,First: Meal / Business: Meal / Economy: Meal,12,48,159
FIN5514,BAW114,2020-05-09T00:15:00.000+0000,2020-05-09T07:20:00.000+0000,KJFK,EGLL,,First: Meal / Business: Meal / Economy: Meal,12,48,159
AMX7667,VIR10,2020-05-09T00:30:00.000+0000,2020-05-09T07:40:00.000+0000,KJFK,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
VIR10,,2020-05-09T00:30:00.000+0000,2020-05-09T07:40:00.000+0000,KJFK,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
AFR6759,VIR10,2020-05-09T00:30:00.000+0000,2020-05-09T07:40:00.000+0000,KJFK,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
SIA2510,VIR10,2020-05-09T00:30:00.000+0000,2020-05-09T07:40:00.000+0000,KJFK,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
DAL4377,VIR10,2020-05-09T00:30:00.000+0000,2020-05-09T07:40:00.000+0000,KJFK,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
KLM4828,VIR10,2020-05-09T00:30:00.000+0000,2020-05-09T07:40:00.000+0000,KJFK,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
