ident,actual_ident,scheduled_departuretm,scheduled_arrivaltm,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach
ALK2854,ACA854,2020-05-05T00:05:00.000+0000,2020-05-05T09:25:00.000+0000,CYVR,EGLL,B788,Business: No meal / Economy: No meal,0,20,235
UAL2800,,2020-05-05T03:05:00.000+0000,2020-05-05T13:40:00.000+0000,KLAX,EGLL,B789,,0,0,0
EIN8814,BAW114,2020-05-05T00:15:00.000+0000,2020-05-05T07:20:00.000+0000,KJFK,EGLL,,First: No meal / Business: No meal / Economy: No meal,12,48,159
BAW114,,2020-05-05T00:15:00.000+0000,2020-05-05T07:20:00.000+0000,KJFK,EGLL,,First: Meal / Business: Meal / Economy: Meal,12,48,159
FIN5514,BAW114,2020-05-05T00:15:00.000+0000,2020-05-05T07:20:00.000+0000,KJFK,EGLL,,First: Meal / Business: Meal / Economy: Meal,12,48,159
AAL6135,BAW114,2020-05-05T00:15:00.000+0000,2020-05-05T07:20:00.000+0000,KJFK,EGLL,,First: Meal / Business: Meal / Economy: Meal,12,48,159
SIA1015,ACA848,2020-05-05T00:35:00.000+0000,2020-05-05T07:35:00.000+0000,CYYZ,EGLL,B77W,Business: No meal / Economy: No meal,0,40,360
AUA8290,ACA848,2020-05-05T00:35:00.000+0000,2020-05-05T07:35:00.000+0000,CYYZ,EGLL,B77W,Business: No meal / Economy: No meal,0,40,360
ETH1141,ACA848,2020-05-05T00:35:00.000+0000,2020-05-05T07:35:00.000+0000,CYYZ,EGLL,B77W,"Business: Breakfast, Meal / Economy: Breakfast, Meal",0,40,360
DLH6583,ACA848,2020-05-05T00:35:00.000+0000,2020-05-05T07:35:00.000+0000,CYYZ,EGLL,B77W,"Business: Breakfast, Meal / Economy: Breakfast, Meal",0,40,360
UAL8384,ACA848,2020-05-05T00:35:00.000+0000,2020-05-05T07:35:00.000+0000,CYYZ,EGLL,B77W,"Business: Breakfast, Meal / Economy: Breakfast, Meal",0,40,360
MSR9617,ACA848,2020-05-05T00:35:00.000+0000,2020-05-05T07:35:00.000+0000,CYYZ,EGLL,B77W,Business: No meal / Economy: No meal,0,40,360
