ident,actual_ident,scheduled_departuretm,scheduled_arrivaltm,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach
FJI5067,AAL134,2020-04-30T00:30:00.000Z,2020-04-30T11:10:00.000Z,KLAX,EGLL,B77W,"Business: Breakfast, Dinner / Economy: Breakfast, Dinner",0,52,216
VIR20,"",2020-04-30T01:00:00.000Z,2020-04-30T11:15:00.000Z,KSFO,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
ANZ4162,VIR20,2020-04-30T01:00:00.000Z,2020-04-30T11:15:00.000Z,KSFO,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
KLM4838,VIR20,2020-04-30T01:00:00.000Z,2020-04-30T11:15:00.000Z,KSFO,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
AFR9650,VIR20,2020-04-30T01:00:00.000Z,2020-04-30T11:15:00.000Z,KSFO,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
SIA2520,VIR20,2020-04-30T01:00:00.000Z,2020-04-30T11:15:00.000Z,KSFO,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
DAL4391,VIR20,2020-04-30T01:00:00.000Z,2020-04-30T11:15:00.000Z,KSFO,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
ALK2854,ACA854,2020-04-30T01:30:00.000Z,2020-04-30T10:50:00.000Z,CYVR,EGLL,B789,Business: No meal / Economy: No meal,0,30,268
ANZ4824,ACA854,2020-04-30T01:30:00.000Z,2020-04-30T10:50:00.000Z,CYVR,EGLL,B789,"Business: Breakfast, Meal / Economy: Breakfast, Meal",0,30,268
AUA8214,ACA854,2020-04-30T01:30:00.000Z,2020-04-30T10:50:00.000Z,CYVR,EGLL,B789,Business: No meal / Economy: No meal,0,30,268
DLH6841,ACA854,2020-04-30T01:30:00.000Z,2020-04-30T10:50:00.000Z,CYVR,EGLL,B789,"Business: Breakfast, Meal / Economy: Breakfast, Meal",0,30,268
AIC7318,ACA854,2020-04-30T01:30:00.000Z,2020-04-30T10:50:00.000Z,CYVR,EGLL,B789,Business: Meal / Economy: Meal,0,30,268
ACA854,"",2020-04-30T01:30:00.000Z,2020-04-30T10:50:00.000Z,CYVR,EGLL,B789,"Business: Breakfast, Meal / Economy: Breakfast, Meal",0,30,268
UAL8582,ACA854,2020-04-30T01:30:00.000Z,2020-04-30T10:50:00.000Z,CYVR,EGLL,B789,"Business: Breakfast, Meal / Economy: Breakfast, Meal",0,30,268
AAL6127,BAW48,2020-04-30T02:20:00.000Z,2020-04-30T11:40:00.000Z,KSEA,EGLL,B789,First: Meal / Business: Meal / Economy: Meal,8,42,166
IBE7312,BAW48,2020-04-30T02:20:00.000Z,2020-04-30T11:40:00.000Z,KSEA,EGLL,B789,First: No meal / Business: No meal / Economy: No meal,8,42,166
EIN8748,BAW48,2020-04-30T02:20:00.000Z,2020-04-30T11:40:00.000Z,KSEA,EGLL,B789,First: No meal / Business: No meal / Economy: No meal,8,42,166
BAW48,"",2020-04-30T02:20:00.000Z,2020-04-30T11:40:00.000Z,KSEA,EGLL,B789,First: Meal / Business: Meal / Economy: Meal,8,42,166
FIN5448,BAW48,2020-04-30T02:20:00.000Z,2020-04-30T11:40:00.000Z,KSEA,EGLL,B789,First: Meal / Business: Meal / Economy: Meal,8,42,166
VIR4001,DAL36,2020-04-30T02:36:00.000Z,2020-04-30T12:30:00.000Z,KPDX,EGLL,B764,First: No meal / Business: Dinner / Economy: Dinner,20,34,184
DAL36,"",2020-04-30T02:36:00.000Z,2020-04-30T12:30:00.000Z,KPDX,EGLL,B764,First: Dinner / Business: Dinner / Economy: Dinner,20,34,184
KLM6041,DAL36,2020-04-30T02:36:00.000Z,2020-04-30T12:30:00.000Z,KPDX,EGLL,B764,First: Dinner / Business: Dinner / Economy: Dinner,20,34,184
AFR3680,DAL36,2020-04-30T02:36:00.000Z,2020-04-30T12:30:00.000Z,KPDX,EGLL,B764,First: Dinner / Business: Dinner / Economy: Dinner,20,34,184
RJA7106,AAL136,2020-04-30T02:40:00.000Z,2020-04-30T13:25:00.000Z,KLAX,EGLL,B77W,Business: No meal / Economy: No meal,0,99,999
AFR9919,VIR168,2020-04-30T02:55:00.000Z,2020-04-30T12:20:00.000Z,KSEA,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
AMX7700,VIR168,2020-04-30T02:55:00.000Z,2020-04-30T12:20:00.000Z,KSEA,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
DAL4438,VIR168,2020-04-30T02:55:00.000Z,2020-04-30T12:20:00.000Z,KSEA,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
VIR168,"",2020-04-30T02:55:00.000Z,2020-04-30T12:20:00.000Z,KSEA,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
VIR104,"",2020-04-30T00:01:00.000Z,2020-04-30T08:20:00.000Z,KATL,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
SIA2514,VIR104,2020-04-30T00:01:00.000Z,2020-04-30T08:20:00.000Z,KATL,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
AMX7667,VIR138,2020-04-30T00:01:00.000Z,2020-04-30T07:00:00.000Z,KJFK,EGLL,A333,Business: Dinner / Economy: Dinner,0,31,233
VIR138,"",2020-04-30T00:01:00.000Z,2020-04-30T07:00:00.000Z,KJFK,EGLL,A333,Business: Dinner / Economy: Dinner,0,31,233
DAL4365,VIR104,2020-04-30T00:01:00.000Z,2020-04-30T08:20:00.000Z,KATL,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
AMX7677,VIR104,2020-04-30T00:01:00.000Z,2020-04-30T08:20:00.000Z,KATL,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
KLM4829,VIR138,2020-04-30T00:01:00.000Z,2020-04-30T07:00:00.000Z,KJFK,EGLL,A333,Business: Dinner / Economy: Dinner,0,31,233
SIA2588,VIR138,2020-04-30T00:01:00.000Z,2020-04-30T07:00:00.000Z,KJFK,EGLL,A333,Business: Dinner / Economy: Dinner,0,31,233
AFR9917,VIR138,2020-04-30T00:01:00.000Z,2020-04-30T07:00:00.000Z,KJFK,EGLL,A333,Business: Dinner / Economy: Dinner,0,31,233
AFR9903,VIR104,2020-04-30T00:01:00.000Z,2020-04-30T08:20:00.000Z,KATL,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
KLM4801,VIR104,2020-04-30T00:01:00.000Z,2020-04-30T08:20:00.000Z,KATL,EGLL,B789,Business: Dinner / Economy: Dinner,0,31,227
DAL4412,VIR138,2020-04-30T00:01:00.000Z,2020-04-30T07:00:00.000Z,KJFK,EGLL,A333,Business: Dinner / Economy: Dinner,0,31,233
AIC7310,ACA848,2020-04-30T00:35:00.000Z,2020-04-30T07:35:00.000Z,CYYZ,EGLL,B789,Business: Meal / Economy: Meal,0,30,268
MSR9617,ACA848,2020-04-30T00:35:00.000Z,2020-04-30T07:35:00.000Z,CYYZ,EGLL,B789,Business: No meal / Economy: No meal,0,30,268
DLH6583,ACA848,2020-04-30T00:35:00.000Z,2020-04-30T07:35:00.000Z,CYYZ,EGLL,B789,"Business: Breakfast, Meal / Economy: Breakfast, Meal",0,30,268
UAL8384,ACA848,2020-04-30T00:35:00.000Z,2020-04-30T07:35:00.000Z,CYYZ,EGLL,B789,"Business: Breakfast, Meal / Economy: Breakfast, Meal",0,30,268
AUA8290,ACA848,2020-04-30T00:35:00.000Z,2020-04-30T07:35:00.000Z,CYYZ,EGLL,B789,Business: No meal / Economy: No meal,0,30,268
